A B C D
0.19974089891903002 0.3593951744438058 0.2488087608560974 0.19205516578106735
0.03271541740593573 0.08923878370092578 0.004605763100765275 0.8734400357923738
0.022590982383304554 0.017468048206337683 0.0029330203501152564 0.9570079490602428
0.022141660499246995 0.00812096507285722 0.002900297305889467 0.9668370771220066
0.02309405672888986 0.007063039954340162 0.0029337661743379013 0.9669091371424322
0.038707987359618834 0.0072564791253583285 0.0038316596405901793 0.9502038738744326
0.04063102839146916 0.012227621539107007 0.2522168772041606 0.6949244728652633
0.044090214508653525 0.03168130875596826 0.004910918536281628 0.9193175581990967
0.04323689800893417 0.017825173221715097 0.256804929788566 0.6821329989807848
0.06215802842296768 0.040069270294640635 0.005810989775074941 0.8919617115073167
